Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,transaction_hour,MerchantCategory,is_high_risk_merchant,City,transaction_amount_zscore,CustomerID,relative_day,transaction_velocity,fraud_risk_score,risk_reason_summary,datetime,txn_count_5min,txn_count_1h,risk_band
15707.0,1.10838576241815,-0.954001429922147,1.10928342037637,-0.46539201161511,-1.42986634632342,0.0064374260260816,-1.21410695834284,0.133997939856505,0.680701230903207,0.337444966391341,2.64183527134146,-2.58048888897351,1.29295169142728,1.34954350170413,-0.0176532333038457,1.3301091209211,0.923842262617105,-0.517840784580831,-0.150571739953676,0.162619070195148,0.370387488372053,1.04652212879975,-0.118923160599934,0.196135893573416,0.223550916722552,-0.0955914703899647,0.0038623407707306,0.0218932018031185,99.0,0,4.0,Jewelry,1,Paris,0.0425810654785904,1000,0.0,1,25,Illiquid Hours; High Risk Merchant; ,2024-01-01 04:21:47,1.0,1.0,Low Risk
20562.0,-1.27806679187066,0.558237994032709,2.20568469354148,2.66148351776728,1.32775809785111,-0.797826140939963,0.249989201848262,-0.150857291373174,-0.474534590822703,-0.0222535537678104,0.538191807168046,-2.17167570499313,3.21970965645105,1.42272746237602,-0.161946168244385,0.103974062845367,0.351127400771818,0.23263663937319,-0.395574813771305,0.403043818957956,0.140405842400601,0.354926951958348,-0.167047640936674,0.370278650933085,0.552659950597869,0.235531599647813,-0.0175800056926065,0.0908989578459081,30.33,0,5.0,Grocery,0,Mumbai,-0.2319670314681316,1000,0.0,1,0,,2024-01-01 05:42:42,1.0,1.0,Low Risk
23224.0,0.969471000051483,0.370774366540894,1.14493691562343,2.66909359651641,0.472664826386694,1.96569500415195,-0.541647104667874,0.531607100008065,0.986478206115088,-0.0672354684398568,1.11608801137662,-1.67390777138743,1.96466713826553,1.29766059009837,-0.25809514959689,-0.938078886101202,1.63074385582909,-2.42276517268577,-2.33436160917226,-0.327742499724874,-0.389925695293606,-0.596632258190702,0.291497950233981,-1.06415039431433,-0.0694007756205417,-0.185429427941128,0.0653538817787973,0.0101121054064084,0.0,0,6.0,Grocery,0,Toronto,-0.3532287728456484,1000,0.0,1,35,Impossible Travel; ,2024-01-01 06:27:04,1.0,2.0,Low Risk
27570.0,1.3925417128696,-1.19114352000461,0.49265625788786,-1.34181160705158,-1.71539190422864,-0.780287316997486,-1.06210959963751,-0.0879063158080089,-1.97933743507832,1.62350423565331,1.24725454795693,-0.480989052976494,-0.181906780415199,-0.0196014421757826,-0.0591718841529775,-0.249273053702981,0.351813662774249,0.694925603726927,-0.155680185089306,-0.285319628942354,0.0691131194385237,0.485083753893034,-0.106234352992616,0.545751521878135,0.463890485611354,-0.0278038846574766,0.0176551328576905,0.0149301211841722,50.0,0,7.0,Grocery,0,Toronto,-0.1533248140960328,1000,0.0,1,0,,2024-01-01 07:39:30,1.0,1.0,Low Risk
32911.0,1.23108985976247,0.228608308123294,0.167419005256518,0.508999066552945,-0.22467053927224,-0.57524118244967,-0.0736921290288426,0.0091310701896146,-0.0842311554512076,-0.0912267425781225,1.1983792563027,0.390670196877234,-0.594948964190032,0.0479133984009524,0.5054873017979,0.809972925461535,-0.33187574850335,0.403224139831702,0.22145461569981,-0.104295070825441,-0.265360252966592,-0.845485341011339,0.0827987939270532,-0.0641174288243237,0.202645967033542,0.100033185040101,-0.0330376492485642,0.0160223654124494,4.49,0,9.0,Electronics,1,New York,-0.335277397349933,1000,0.0,4,15,High Risk Merchant; ,2024-01-01 09:08:31,1.0,1.0,Low Risk
32980.0,-0.321414166771832,1.14697062993799,0.684901547355188,0.129028440662925,-0.228575360448657,-1.06911589041028,0.404205455345289,0.208478325953533,-0.661402656634322,-0.593027741652891,-0.557923089083623,0.36426525513973,0.602996989326897,0.425175700512791,0.558513047433423,0.153700050972736,-0.239905580803897,-0.202917407467418,-0.133463950238259,-0.171734273483914,0.14596897763823,0.337950491061842,-0.051641641673693,0.429279643999899,-0.230419246927181,0.289627375008323,-0.107648766420094,-0.0304584021507923,1.5,0,9.0,Utilities,0,Mumbai,-0.34723165408316,1000,0.0,4,35,Impossible Travel; ,2024-01-01 09:09:40,2.0,2.0,Low Risk
33782.0,-0.568317118377296,0.985884343393298,1.07074183008259,-0.121734883390707,0.200351538595907,-0.427134452101409,1.5691596370242,-0.352954398393372,-0.420122885909001,-0.0653104672235929,-0.134526582946561,-0.267466649714955,-0.474718808806598,0.218181601483734,0.861723799913797,-0.431557012196678,-0.084715599772049,-1.10278421308004,-0.137752223184242,0.0987852442174557,-0.346348304533683,-0.779178876037516,0.118585463480289,0.036489965037591,-0.502303485883661,-0.0609516005620406,0.0661519965723823,-0.053403238816482,94.8,0,9.0,Grocery,0,Sydney,0.0257891329436227,1000,0.0,4,35,Impossible Travel; ,2024-01-01 09:23:02,1.0,3.0,Low Risk
35699.0,0.344468836965113,-2.13864989551193,0.257000340072978,-1.01833481714936,-1.4953967980428,0.295801379060372,-0.356838131288669,0.23534995042392,1.90336759833359,-1.23332208176075,0.927518680270107,0.880437737338968,-1.17669685994783,0.203625424722698,0.626934591595759,-0.439475943790934,0.0655010829555417,0.297584860067232,0.793782914676856,0.721099917798694,0.232854984364744,-0.0908432497751859,-0.408412829013842,-0.249387464613642,0.113426230441979,0.0090751098546549,-0.0339768760304838,0.0819271265565667,444.61,0,9.0,Electronics,1,Paris,1.4243572091476833,1000,0.0,4,65,High Value (>95th%); High Risk Merchant; Impossible Travel; ,2024-01-01 09:54:59,1.0,4.0,Medium Risk
36567.0,1.26978770876598,-0.703273190941653,-0.227613714454456,-0.580362911655748,-0.837174233085248,-1.0273635940954,-0.100908588508117,-0.293687392892458,-0.910070028987455,0.689547756707329,-0.954772580165941,-0.72178715788236,-0.505877082524885,0.405057650994464,0.833485169939202,-1.30491010377096,-0.0270081529186351,0.957660691882377,-0.557371512532885,-0.343734698018967,-0.423734075906868,-0.977523318763849,-0.0622072804076627,0.0454297373949767,0.303071460376522,1.02575978603606,-0.0988336307628892,0.0112798207045486,97.0,0,10.0,Gambling,1,Tokyo,0.0345849071286058,1000,0.0,2,50,High Risk Merchant; Impossible Travel; ,2024-01-01 10:09:27,1.0,4.0,Medium Risk
36601.0,1.22091267963743,-0.749131165255635,0.23052203090613,-0.782401546514682,-0.89102630720608,-0.524601912084222,-0.462905059191696,-0.11160581136538,-1.1221165247454,0.748997643546222,1.26079851047559,0.242942340192035,0.652792491427732,-0.0353643125696212,0.0629628355670133,1.42530547291573,-0.161701499386616,-0.84183966167662,0.899844120528896,0.305864858650321,0.200660843510858,0.27775201520351,-0.152274688740879,0.0451271074306879,0.448763909608549,-0.261199889590329,-0.0133465555930744,0.0201238367138688,100.0,0,10.0,Electronics,1,Tokyo,0.0465791446535827,1000,0.0,2,15,High Risk Merchant; ,2024-01-01 10:10:01,2.0,4.0,Low Risk
